room,rt_s,file,label_better_ear_ud_dB,ud_diotic_dB,binaural_gain_dB,duration_s,onset_ms,ir_length_gate,orig_sr,error
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-1.586,0.184,-1.771,2.176,10.5,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-1.586,0.184,-1.771,2.176,10.5,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-2.249,-1.731,-0.517,2.21,10.5,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-2.249,-1.731,-0.517,2.21,10.5,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-3.805,-3.015,-0.79,2.21,10.3,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-3.805,-3.015,-0.79,2.21,10.3,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-1.743,-1.098,-0.645,2.18,10.4,SHORT,96000,
100_National Palace of Mafra Library_2.13,2.13,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-1.743,-1.098,-0.645,2.18,10.4,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos1.wav,-8.706,-7.928,-0.778,18.51,11.9,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos1.wav,-8.706,-7.928,-0.778,18.51,11.9,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos3.wav,-8.265,-8.341,0.076,18.51,11.3,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos3.wav,-8.265,-8.341,0.076,18.51,11.3,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos5.wav,-8.837,-7.006,-1.831,18.51,11.4,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S1_Pos5.wav,-8.837,-7.006,-1.831,18.51,11.4,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos1.wav,-12.626,-11.68,-0.946,18.51,11.8,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos1.wav,-12.626,-11.68,-0.946,18.51,11.8,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos3.wav,-13.548,-12.584,-0.965,18.51,11.8,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos3.wav,-13.548,-12.584,-0.965,18.51,11.8,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos5.wav,-12.29,-13.534,1.244,18.51,12.1,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S2_Pos5.wav,-12.29,-13.534,1.244,18.51,12.1,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S3_Pos1.wav,-21.655,-23.486,1.832,18.51,10.4,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S3_Pos1.wav,-21.655,-23.486,1.832,18.51,10.4,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S3_Pos3.wav,-19.32,-21.76,2.44,18.51,13.9,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Binaural_IR_S3_Pos3.wav,-19.32,-21.76,2.44,18.51,13.9,SHORT,48000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-8.939,-7.84,-1.099,18.51,12.0,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-8.939,-7.84,-1.099,18.51,12.0,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-8.458,-8.179,-0.279,18.51,11.6,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-8.458,-8.179,-0.279,18.51,11.6,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-8.835,-7.023,-1.812,18.51,12.6,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-8.835,-7.023,-1.812,18.51,12.6,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S2_Pos1_binaural.wav,-12.919,-11.671,-1.248,18.51,12.2,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S2_Pos1_binaural.wav,-12.919,-11.671,-1.248,18.51,12.2,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S2_Pos3_binaural.wav,-13.206,-12.323,-0.883,18.51,12.4,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S2_Pos3_binaural.wav,-13.206,-12.323,-0.883,18.51,12.4,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S3_Pos1_binaural.wav,-21.079,-22.792,1.712,18.51,12.5,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S3_Pos1_binaural.wav,-21.079,-22.792,1.712,18.51,12.5,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S3_Pos3_binaural.wav,-19.51,-21.837,2.328,18.51,13.9,SHORT,96000,
101_National Pantheon - Church of Santa Engracia_12.74,12.74,Stereo_Binaural_IR_S3_Pos3_binaural.wav,-19.51,-21.837,2.328,18.51,13.9,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos1_binaural.wav,0.699,1.427,-0.728,2.569,12.4,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos1_binaural.wav,0.699,1.427,-0.728,2.569,12.4,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-1.448,-1.577,0.129,2.594,12.7,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-1.448,-1.577,0.129,2.594,12.7,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-2.147,-2.109,-0.038,2.617,12.5,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-2.147,-2.109,-0.038,2.617,12.5,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-5.81,-4.594,-1.215,2.59,12.1,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-5.81,-4.594,-1.215,2.59,12.1,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-6.216,-4.904,-1.311,2.576,13.5,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-6.216,-4.904,-1.311,2.576,13.5,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos6_binaural.wav,-6.782,-5.052,-1.73,2.469,12.0,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos6_binaural.wav,-6.782,-5.052,-1.73,2.469,12.0,SHORT,96000,
