room,label,mode,path
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_0.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_1.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_2.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_3.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_4.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00000_5.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_0.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_1.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_2.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_3.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_4.npz
100_National Palace of Mafra Library_2.13,-1.586,binaural,F:\NEW PROJECT\output\feat_00001_5.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_0.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_1.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_2.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_3.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_4.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00002_5.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00003_0.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00003_1.npz
100_National Palace of Mafra Library_2.13,-2.249,binaural,F:\NEW PROJECT\output\feat_00003_2.npz
